name,serial,type,datawell_name,version,processingSource,sofar_token,utc_offset,timezone,DeployLoc,DeployDepth,DeployLat,DeployLon,UpdateTime,DataType,web_path,archive_path,website_filename,backup_path,datawell_datapath,time_cutoff,search_rad,send_alert_emails,alert_emails,wmo_id,wigos_id,process_aodn,send_aodn
Abbey,SPOT-30199R,sofar,NA,V3,all,dc6f3f68c52e2fa8127488f9ad947d,8,Australia/Perth,Abbey,15,-33.60014,115.24956,1,parameters,E:\auswaves\wawaves,G:\auswaves\wawaves,buoys_wa.csv,\\drive.irds.uwa.edu.au\OGS-COD-001\CUTTLER_wawaves\Data\auswaves_realtime_backup\wawaves,G:\waved,3,190,0,michael.cuttler@uwa.edu.au,,,0,0
Augusta,SPOT-1832,sofar,NA,V3,all,f8f4c8b08d51c3440bfd7042bf40d1,8,Australia/Perth,Augusta,15,-34.3713,115.2023,1,parameters,E:\auswaves\wawaves,G:\auswaves\wawaves,buoys_wa.csv,\\drive.irds.uwa.edu.au\OGS-COD-001\CUTTLER_wawaves\Data\auswaves_realtime_backup\wawaves,G:\waved,3,190,0,michael.cuttler@uwa.edu.au;thiago.caminha@uwa.edu.au;matt.hatcher@uwa.edu.au;carlin.bowyer@uwa.edu.au;carlin.alerts@outlook.com.au,,,0,0
CableBeach,SPOT-32378C,sofar,NA,V3,all,f6c01b0c9712e04c7f5f9bcdb5b694,8,Australia/Perth,CableBeach,19,-17.908067,122.131484,1,parameters,E:\auswaves\wawaves,G:\auswaves\wawaves,buoys_wa.csv,\\drive.irds.uwa.edu.au\OGS-COD-001\CUTTLER_wawaves\Data\auswaves_realtime_backup\wawaves,G:\waved,3,190,1,michael.cuttler@uwa.edu.au;thiago.caminha@uwa.edu.au;matt.hatcher@uwa.edu.au;carlin.bowyer@uwa.edu.au;carlin.alerts@outlook.com.au,5601881,0-22000-0-5601881,1,1
CocosLagoon,SPOT-1724,sofar,NA,smart_mooring,all,a1b3c0dbaa16bb21d5f0befcbcca51,8,Australia/Perth,CocosLagoon,14,-12.14402,96.86583,1,parameters,E:\auswaves\wawaves,G:\auswaves\wawaves,buoys_wa.csv,\\drive.irds.uwa.edu.au\OGS-COD-001\CUTTLER_wawaves\Data\auswaves_realtime_backup\wawaves,G:\waved,3,190,0,michael.cuttler@uwa.edu.au;thiago.caminha@uwa.edu.au;matt.hatcher@uwa.edu.au;carlin.bowyer@uwa.edu.au;carlin.alerts@outlook.com.au,,,1,0
DongaraInshore,SPOT-32306C,sofar,NA,smart_mooring,all,f6c01b0c9712e04c7f5f9bcdb5b694,8,Australia/Perth,DongaraInshore,22,-29.18133,114.8624,1,spectral,E:\auswaves\wawaves,G:\auswaves\wawaves,buoys_wa.csv,\\drive.irds.uwa.edu.au\OGS-COD-001\CUTTLER_wawaves\Data\auswaves_realtime_backup\wawaves,G:\waved,3,190,1,michael.cuttler@uwa.edu.au;thiago.caminha@uwa.edu.au;matt.hatcher@uwa.edu.au;carlin.bowyer@uwa.edu.au;carlin.alerts@outlook.com.au,5601884,0-22000-0-5601884,1,1
DongaraOffshore,SPOT-32367C,sofar,NA,smart_mooring,all,f6c01b0c9712e04c7f5f9bcdb5b694,8,Australia/Perth,DongaraOffshore,22,-29.197717,114.8316,1,spectral,E:\auswaves\wawaves,G:\auswaves\wawaves,buoys_wa.csv,\\drive.irds.uwa.edu.au\OGS-COD-001\CUTTLER_wawaves\Data\auswaves_realtime_backup\wawaves,G:\waved,3,190,1,michael.cuttler@uwa.edu.au;thiago.caminha@uwa.edu.au;matt.hatcher@uwa.edu.au;carlin.bowyer@uwa.edu.au;carlin.alerts@outlook.com.au,5601885,0-22000-0-5601885,1,1
Dunsborough,SPOT-30192R,sofar,NA,V3,all,dc6f3f68c52e2fa8127488f9ad947d,8,Australia/Perth,Dunsborough,12,-33.59128,115.11575,1,parameters,E:\auswaves\wawaves,G:\auswaves\wawaves,buoys_wa.csv,\\drive.irds.uwa.edu.au\OGS-COD-001\CUTTLER_wawaves\Data\auswaves_realtime_backup\wawaves,G:\waved,3,190,0,michael.cuttler@uwa.edu.au,,,0,0
ExmouthGulfNorth,SPOT-31133C,sofar,NA,smart_mooring,all,f6c01b0c9712e04c7f5f9bcdb5b694,8,Australia/Perth,ExmouthGulfNorth,25,-21.80042,114.26677,1,spectral,E:\auswaves\wawaves,G:\auswaves\wawaves,buoys_wa.csv,\\drive.irds.uwa.edu.au\OGS-COD-001\CUTTLER_wawaves\Data\auswaves_realtime_backup\wawaves,G:\waved,3,200,1,michael.cuttler@uwa.edu.au;thiago.caminha@uwa.edu.au;matt.hatcher@uwa.edu.au;carlin.bowyer@uwa.edu.au;carlin.alerts@outlook.com.au,5601879,0-22000-0-5601879,1,1
ExmouthGulfSouth,SPOT-32450C,sofar,NA,smart_mooring,all,f6c01b0c9712e04c7f5f9bcdb5b694,8,Australia/Perth,ExmouthGulfSouth,10,-22.16835,114.3379833,1,parameters,E:\auswaves\wawaves,G:\auswaves\wawaves,buoys_wa.csv,\\drive.irds.uwa.edu.au\OGS-COD-001\CUTTLER_wawaves\Data\auswaves_realtime_backup\wawaves,G:\waved,3,200,1,michael.cuttler@uwa.edu.au;thiago.caminha@uwa.edu.au;matt.hatcher@uwa.edu.au;carlin.bowyer@uwa.edu.au;carlin.alerts@outlook.com.au,5601878,0-22000-0-5601878,1,1
HamelinBayDrift,SPOT-1800,sofar,NA,V2,all,e0eb70b6d9e0b5e00450929139ea34,8,Australia/Perth,HamelinBayDrift,0,0,0,1,parameters,E:\auswaves\wawaves,G:\auswaves\wawaves,buoys_wa.csv,\\drive.irds.uwa.edu.au\OGS-COD-001\CUTTLER_wawaves\Data\auswaves_realtime_backup\wawaves,G:\waved,3,nan,0,michael.cuttler@uwa.edu.au;thiago.caminha@uwa.edu.au;matt.hatcher@uwa.edu.au;carlin.bowyer@uwa.edu.au;carlin.alerts@outlook.com.au,,,0,0
JurienBayInshore,SPOT-32303C,sofar,NA,smart_mooring,all,f6c01b0c9712e04c7f5f9bcdb5b694,8,Australia/Perth,JurienBayInshore,25,-30.314417,114.962033,1,spectral,E:\auswaves\wawaves,G:\auswaves\wawaves,buoys_wa.csv,\\drive.irds.uwa.edu.au\OGS-COD-001\CUTTLER_wawaves\Data\auswaves_realtime_backup\wawaves,G:\waved,3,300,1,michael.cuttler@uwa.edu.au;thiago.caminha@uwa.edu.au;matt.hatcher@uwa.edu.au;carlin.bowyer@uwa.edu.au;carlin.alerts@outlook.com.au,5601882,0-22000-0-5601882,1,1
