parameter_id,site_id,eagle_parameter_id,type,name,unit,convert_unit_to
1,1,691fc2c9a04ef5f7f7d9042c,Ai1,Ai1 - BatteryVoltage,Volts,
2,1,691fc2c9a04ef5f7f7d9042e,Ai1,Ai1 - InternalTemperature,°C,
3,1,691fc2c9a04ef5f7f7d90430,Ai1,Ai1 - InternalHumidity,%,
4,1,691fc2c9a04ef5f7f7d90432,Ai1,Ai1 - CurrentAverage,"mA (-=Charge, +=Discharge)",
5,1,691fc2c9a04ef5f7f7d90434,Ai1,Ai1 - CurrentMaximum,"mA (-=Charge, +=Discharge)",
6,1,691fc2c9a04ef5f7f7d90436,Ai1,Ai1 - SensorHoldPowerOn,True = Keep Sensor On,
7,1,691fc2c9a04ef5f7f7d90438,Ai1,Ai1 - ProcessingTime,µS,
8,1,691fc2c9a04ef5f7f7d9043a,Ai1,Ai1 - SerialNumber,,
9,1,691fc2c9a04ef5f7f7d9043c,Ai1,Ai1 - DataloggerOSVersion,,
10,1,691fc2c9a04ef5f7f7d9043e,Ai1,Ai1 - Ai1OSVersion,,
11,1,691fc2c9a04ef5f7f7d90440,Ai1,Ai1 - ProgramSignature,(0-65535),
12,1,691fc2c9a04ef5f7f7d90442,Ai1,Ai1 - ProgramCounter,Cycles,
13,1,691fc2c9a04ef5f7f7d90444,Ai1,Ai1 - StartUpCode,"(0=Ok, -1=Power, -2=Watchdog)",
14,1,691fc2c9a04ef5f7f7d90446,Ai1,Ai1 - WatchdogErrors,Errors Since Compile,
15,1,691fc2c9a04ef5f7f7d90448,Ai1,Ai1 - SkippedScans,Scans Skipped,
16,1,691fc2c9a04ef5f7f7d9044a,Ai1,Ai1 - MemoryFree,Bytes,
17,1,691fc2c9a04ef5f7f7d9044c,Ai1,Ai1 - CellUsageToday,kB,
18,1,691fc2c9a04ef5f7f7d9044e,Ai1,Ai1 - CellUsageThisMonth,kB,
19,1,691fc2c9a04ef5f7f7d90450,Ai1,Ai1 - CellRSSI,dBm,
20,1,691fc2c9a04ef5f7f7d90453,Ai1,Ai1 - CellNetBand,,
21,1,691fc2c9a04ef5f7f7d90455,Ai1,Ai1 - tcpHandle,counter (0 - 65535),
22,1,691fc2c9a04ef5f7f7d90457,Ai1,Ai1 - Latitude,"Decimal Degrees (N=+,S=-)",
23,1,691fc2c9a04ef5f7f7d90459,Ai1,Ai1 - Longitude,"Decimal Degrees (E=+,W=-)",
24,1,691fc2c9a04ef5f7f7d9045b,Ai1,Ai1 - GPSSatellitesInView,GPS Satellites visible,
25,1,691fc2c9a04ef5f7f7d9045d,Ai1,Ai1 - ReadAttempts-Max,,
26,1,696828f2af4ceb36e2e185bc,DCS,DCS - DCS-Model,,
27,1,696828f2af4ceb36e2e185c0,DCS,DCS - DCS-SN,Serial Number,
28,1,696828f2af4ceb36e2e185c4,DCS,DCS - Abs-Speed,cm/s,m/s
29,1,696828f2af4ceb36e2e185c8,DCS,DCS - Direction,degrees,
30,1,696828f2af4ceb36e2e185cc,DCS,DCS - Nth-Vector,cm/s,m/s
31,1,696828f2af4ceb36e2e185d0,DCS,DCS - Eth-Vector,cm/s,m/s
32,1,696828f2af4ceb36e2e185d4,DCS,DCS - Heading,degrees,
33,1,696828f2af4ceb36e2e185d8,DCS,DCS - Tilt-X,degrees,
34,1,696828f2af4ceb36e2e185dc,DCS,DCS - Tilt-Y,degrees,
35,1,696828f2af4ceb36e2e185e0,DCS,DCS - SP-Std,cm/s,m/s
36,1,696828f2af4ceb36e2e185e4,DCS,DCS - Sig-Strength,dB,
37,1,696828f2af4ceb36e2e185e8,DCS,DCS - Ping-Count,pings,
38,1,696828f2af4ceb36e2e185ec,DCS,DCS - Abs-Tilt,degrees,
39,1,696828f2af4ceb36e2e185f0,DCS,DCS - Max-Tilt,degrees,
40,1,696828f2af4ceb36e2e185f4,DCS,DCS - Std-Tilt,degrees,
41,1,696828f2af4ceb36e2e185f8,DCS,DCS - DCS-Temp-ZPulseOnly,degC,
42,1,696828f2af4ceb36e2e185fc,WQ,WQ - WQ(1)- Temperature,degC,
43,1,696828f2af4ceb36e2e18600,WQ,WQ - WQ(2) Specific Conductivity,,
44,1,696828f2af4ceb36e2e18604,WQ,WQ - WQ(3) Salinity PSU,PSU,
45,1,696828f2af4ceb36e2e18608,WQ,WQ - WQ(4) Wiper Position,,
46,1,696828f2af4ceb36e2e1860c,WQ,WQ - WQ(5) Wiper Peak Current,,
47,1,696828f2af4ceb36e2e18610,WQ,WQ - WQ(6) Sonde Cable Power,,
48,1,696828f2af4ceb36e2e18614,WQ,WQ - WQ(7),,
49,1,696828f2af4ceb36e2e18618,WQ,WQ - WQ(8),,
50,1,696828f2af4ceb36e2e1861c,WQ,WQ - WQ(9),,
51,1,696828f2af4ceb36e2e1862c,WQ,WQ - ReadAttempts,,
52,1,696828f2af4ceb36e2e18630,Weather,Weather - AirTemperature,°C,
53,1,696828f2af4ceb36e2e18634,Weather,Weather - RelativeHumidity,%,
54,1,696828f2af4ceb36e2e18638,Weather,Weather - AirPressure,hPa,
55,1,696828f2af4ceb36e2e1863c,Weather,Weather - WindSpeedAvg,m/s,
56,1,696828f2af4ceb36e2e18641,Weather,Weather - WindSpeedMax,m/s,
57,1,696828f2af4ceb36e2e18645,Weather,Weather - WindSpeed-kmh,km/hr,
58,1,696828f2af4ceb36e2e18649,Weather,Weather - WindSpeedMax-kmh,km/hr,
59,1,696828f2af4ceb36e2e1864d,Weather,Weather - WindSpeed-knots,knots,
60,1,696828f2af4ceb36e2e18651,Weather,Weather - WindSpeedMax-knots,knots,
61,1,696828f2af4ceb36e2e18655,Weather,Weather - WindDirection,°,
62,1,696828f2af4ceb36e2e18659,Weather,Weather - WindVectorDirection,Deg,
63,1,696828f2af4ceb36e2e1865d,Weather,Weather - ReadAttempts-Max,,
64,2,691fc2d3a04ef5f7f7d906a8,Ai1,Ai1 - BatteryVoltage,Volts,
65,2,691fc2d3a04ef5f7f7d906aa,Ai1,Ai1 - InternalTemperature,°C,
66,2,691fc2d3a04ef5f7f7d906ac,Ai1,Ai1 - InternalHumidity,%,
67,2,691fc2d3a04ef5f7f7d906ae,Ai1,Ai1 - CurrentAverage,"mA (-=Charge, +=Discharge)",
68,2,691fc2d3a04ef5f7f7d906b0,Ai1,Ai1 - CurrentMaximum,"mA (-=Charge, +=Discharge)",
69,2,691fc2d3a04ef5f7f7d906b2,Ai1,Ai1 - SensorHoldPowerOn,True = Keep Sensor On,
70,2,691fc2d3a04ef5f7f7d906b4,Ai1,Ai1 - ProcessingTime,µS,
71,2,691fc2d3a04ef5f7f7d906b6,Ai1,Ai1 - SerialNumber,,
